DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,50762.41543224831,121704.62481243891,39010.452768354844,38339.92535509864
1,33720.000036025944,23139.999994844926,195150.99978857592,5038.000009569417
2,108188.75332122539,141041.50738679073,6189.5471553170155,18319.075018711195
3,86773.62120011543,45364.00026130576,90932.00020701057,32917.00005665154
4,128434.83156957693,80787.86868483183,55318.999767096735,6258.000041844218
5,147842.71842042851,50920.35826081514,81869.42706698625,1662.0000017444322
6,34001.9997521129,201484.99930410733,17857.000098254226,18338.999641169827
7,111453.99997576712,14865.999995443508,141514.0003634332,2946.9999379908177
8,13431.66039040974,44239.64171668405,221796.57313341735,596.9999997074292
9,69718.99990208971,152260.99958273783,27405.99965155387,21851.999937512493
