DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,191577.741595507,50212.76067844952,15392.141541427587,16996.98290278673
1,14191.887037349052,116644.8187427923,89114.23443856408,37243.94488412829
2,38035.12061265436,157713.06597098574,37600.24442394516,22228.908869950817
3,92577.93526059885,128931.07351241118,15903.542045269025,29697.3289152889
4,4743.4609864896565,15006.239252257299,231106.24389658959,3987.2724899001355
5,60911.94019813324,104000.9505607942,101018.89691990435,6786.758753517994
6,139523.31556923056,33203.52824885465,97794.71535397395,1774.3563029386276
7,89220.41712930317,163563.773401341,5796.90351489131,22216.67629307041
8,42118.827710861886,49503.418662438526,193180.75887980312,727.8502122872992
9,111428.3538998722,57030.37096967564,90137.31898563188,4608.920376130797
