DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN
0,24048.999663355047,25521.000500204354,3716.0002710936583,1708.00004142288
1,5310.9999260712,42718.9987662062,3170.0003999417054,3645.9998340202615
2,1974.99999283584,11891.999878297556,34050.999602283344,3983.9999432840737
3,1993.000016437913,12259.00010681612,34332.00019085227,4046.0000708393695
4,1915.0000022281986,11940.00003157388,32685.000142682056,3367.999992100614
5,535.9999989958638,226.00000234670253,50902.999944965,27.000001490675988
6,2569.000117567973,777.9999912485636,47282.999644005824,88.99999973801303
7,694.9999991723927,291.9999991789158,49881.00006054235,73.0000002047579
8,2194.9999947685933,773.0000007705413,48189.00005707117,32.999998410437314
9,32590.999877045793,9158.999999833904,9175.000074153373,138.99999988302346
10,11886.000127355017,19209.99998861094,2302.000276488216,17277.000185239274
11,42577.00010779673,4517.000071056532,1085.0002623481944,3724.9998797051585
12,34259.99997013426,17788.999940265363,933.0000109286603,389.00000600992183
13,43388.40737654043,9419.32406244152,787.0000132769643,764.0000672424496
14,36873.999181638945,2441.9999456131877,11404.99988825855,482.9999901184906
15,15169.999833857502,727.9999933936142,35473.999903068514,83.0000005236669
16,8182.999994634446,1133.9999983386188,41917.0000890696,104.99999883252337
17,16809.000071013732,7649.000007064595,29114.999967481876,356.00000057945124
18,3750.0923734842318,38602.99999504789,13956.188330583882,420.9999997028332
19,7477.000174491206,2022.99997504004,41397.00019618968,693.9999989734808
20,467.99999753824085,149.00000322969646,50454.99996493618,17.000000226683305
21,47240.59308390973,2304.675931292874,4435.0000256188,192.99999791068151
22,36169.99995811034,16100.000080488846,1369.0000203785648,416.9999993171839
23,5351.000169083139,2200.9999574276385,46936.99978472875,120.99999350828622
24,30683.999812405797,11032.999815809031,4834.99984060317,7746.99980590798
25,35275.99939775931,10274.99940824538,6643.999878253146,575.9999602502468
26,5373.00014807331,13369.001505121229,31471.99902901234,1807.0002775888504
27,3720.0001086847706,6431.999747568586,41554.0002194186,2679.9999175514254
28,8417.00040366695,11083.000140947595,40137.0002849543,801.0000250294311
29,36414.999799338,15566.00000883318,1169.0000205713982,1710.999981066635
30,40866.999993951315,10195.000037143524,1274.0000054905543,989.0000139693925
31,9801.000631653102,39890.00042405579,1453.0001019938359,2499.999997456447
32,29583.99944921454,18049.999944549563,1977.9999887055794,4962.999946827533
33,880.9076336519568,295.0000029461222,50724.81170033168,39.000001444216196
34,38313.00018134033,10855.000105368177,2359.000016382752,2790.999984743755
35,36395.999840517215,14383.99989222532,1871.9999472884654,1460.9999911228122
36,9356.000117103473,751.9999863756017,40789.999786880246,182.99999949071324
37,14106.461810474808,42042.57373630705,525.0000190126756,2472.5642591262003
38,13130.000408718537,30419.000473175114,1495.0000116050835,9335.000266411875
39,13058.000092160586,28146.000146420654,3817.0000684678835,8757.000120133755
40,6390.999800213277,54975.88806099383,679.9999836805839,3476.999799513384
41,3233.0000051629227,38810.00013487342,2933.000016588506,9447.000035699346
42,2704.000000129714,47643.99996787678,1765.0000459803553,2897.0000085023557
43,3583.999997034387,46334.99982658073,1638.999988729901,3431.9999877752107
44,13744.538460127138,36060.5376905766,860.999995961668,4180.435750552482
45,6171.000008336201,30738.00004872163,10643.999975262466,4758.000020775194
46,7699.999970410159,41171.99984069662,1483.9999892933633,3342.9999739206537
47,7758.99995134546,30111.999907803587,9043.000046262094,7331.000049142965
48,13531.99989165748,21964.999953120274,15074.999921992785,3822.9999049660687
49,10700.000078802477,25382.999967876523,5869.999996329402,12609.999921746881
